win,lose,probability
,,
Cleveland Cavaliers,New York Knicks,0.881705944
,,
Golden State Warriors,San Antonio Spurs,0.672149953
,,
Portland Trail Blazers,Utah Jazz,0.56278574
,,
Boston Celtics,Brooklyn Nets,0.897065726
,,
Indiana Pacers,Dallas Mavericks,0.611711838
,,
Houston Rockets,Los Angeles Lakers,0.878937901
,,
Memphis Grizzlies,Minnesota Timberwolves,0.65754471
,,
Charlotte Hornets,Milwaukee Bucks,0.746783364
,,
Denver Nuggets,New Orleans Pelicans,0.547421478
,,
Miami Heat,Orlando Magic,0.6677358
,,
Oklahoma City Thunder,Philadelphia 76ers,0.970848057
,,
Sacramento Kings,Phoenix Suns,0.696553186
,,
Toronto Raptors,Detroit Pistons,0.728929616
,,
Atlanta Hawks,Washington Wizards,0.672757844
,,
Boston Celtics,Chicago Bulls,0.552483073
,,
Los Angeles Clippers,Portland Trail Blazers,0.588142654
,,
San Antonio Spurs,Sacramento Kings,0.850762226
,,
Indiana Pacers,Brooklyn Nets,0.854837673
,,
Dallas Mavericks,Houston Rockets,0.532974034
,,
Detroit Pistons,Orlando Magic,0.662570595
,,
Miami Heat,Charlotte Hornets,0.558287734
,,
Golden State Warriors,New Orleans Pelicans,0.901553731
,,
Oklahoma City Thunder,Phoenix Suns,0.919558372
,,
Toronto Raptors,Cleveland Cavaliers,0.51885464
,,
Utah Jazz,Los Angeles Lakers,0.874100927
,,
Chicago Bulls,Indiana Pacers,0.516760266
,,
Charlotte Hornets,Boston Celtics,0.547766713
,,
Cleveland Cavaliers,Orlando Magic,0.8533669
,,
Portland Trail Blazers,Denver Nuggets,0.797139229
,,
Milwaukee Bucks,Brooklyn Nets,0.677222942
,,
Memphis Grizzlies,New York Knicks,0.605171996
,,
Atlanta Hawks,Philadelphia 76ers,0.954460765
,,
Sacramento Kings,Minnesota Timberwolves,0.584340593
,,
San Antonio Spurs,New Orleans Pelicans,0.922792135
,,
Detroit Pistons,Milwaukee Bucks,0.728849758
,,
Houston Rockets,Dallas Mavericks,0.538803449
,,
Los Angeles Clippers,Utah Jazz,0.715012414
,,
Washington Wizards,Memphis Grizzlies,0.526347047
,,
San Antonio Spurs,Miami Heat,0.665639268
,,
Oklahoma City Thunder,Los Angeles Lakers,0.953461376
,,
Golden State Warriors,Phoenix Suns,0.943325179
,,
Atlanta Hawks,Sacramento Kings,0.767005924
,,
Chicago Bulls,Brooklyn Nets,0.842245009
,,
Los Angeles Clippers,Phoenix Suns,0.894216613
,,
Toronto Raptors,Denver Nuggets,0.835511093
,,
Cleveland Cavaliers,Houston Rockets,0.807735203
,,
Detroit Pistons,New York Knicks,0.715490125
,,
Indiana Pacers,Los Angeles Lakers,0.89853414
,,
Miami Heat,Sacramento Kings,0.751311863
,,
Memphis Grizzlies,Minnesota Timberwolves,0.646004819
,,
Milwaukee Bucks,New Orleans Pelicans,0.508018029
,,
Orlando Magic,Philadelphia 76ers,0.905411615
,,
Golden State Warriors,Portland Trail Blazers,0.773060689
,,
San Antonio Spurs,Utah Jazz,0.852524554
,,
Atlanta Hawks,Los Angeles Lakers,0.923200173
,,
Boston Celtics,Chicago Bulls,0.655944011
,,
Detroit Pistons,Brooklyn Nets,0.845432504
,,
Charlotte Hornets,Philadelphia 76ers,0.951188871
,,
Los Angeles Clippers,Oklahoma City Thunder,0.515849793
,,
Memphis Grizzlies,New Orleans Pelicans,0.643062281
,,
Houston Rockets,New York Knicks,0.637911422
,,
Portland Trail Blazers,Phoenix Suns,0.900339396
,,
Utah Jazz,Dallas Mavericks,0.552601277
,,
Toronto Raptors,Washington Wizards,0.657835527
,,
Cleveland Cavaliers,Boston Celtics,0.716969565
,,
Golden State Warriors,Oklahoma City Thunder,0.759994107
,,
Indiana Pacers,Milwaukee Bucks,0.706150348
,,
Denver Nuggets,Minnesota Timberwolves,0.564399196
,,
Orlando Magic,Sacramento Kings,0.544303369
,,
Charlotte Hornets,Brooklyn Nets,0.87844952
,,
Chicago Bulls,New York Knicks,0.704433002
,,
Portland Trail Blazers,Dallas Mavericks,0.689856233
,,
Golden State Warriors,Los Angeles Lakers,0.971391492
,,
Los Angeles Clippers,Memphis Grizzlies,0.678404722
,,
New Orleans Pelicans,Phoenix Suns,0.617332682
,,
Toronto Raptors,Miami Heat,0.669594392
,,
San Antonio Spurs,Utah Jazz,0.759802231
,,
Atlanta Hawks,Washington Wizards,0.568557474
,,
Atlanta Hawks,Houston Rockets,0.679821815
,,
Detroit Pistons,Denver Nuggets,0.696484248
,,
Indiana Pacers,Chicago Bulls,0.578660175
,,
Sacramento Kings,Milwaukee Bucks,0.552338658
,,
Oklahoma City Thunder,Minnesota Timberwolves,0.882021621
,,
Washington Wizards,Orlando Magic,0.572759062
,,
Cleveland Cavaliers,Philadelphia 76ers,0.974735361
,,
San Antonio Spurs,Los Angeles Clippers,0.758737847
,,
Boston Celtics,Denver Nuggets,0.778523589
,,
Dallas Mavericks,Milwaukee Bucks,0.683954874
,,
Phoenix Suns,Los Angeles Lakers,0.696814539
,,
Portland Trail Blazers,Memphis Grizzlies,0.73199204
,,
Utah Jazz,New York Knicks,0.652665126
,,
Toronto Raptors,Sacramento Kings,0.829486552
,,
Chicago Bulls,Orlando Magic,0.650461557
,,
Charlotte Hornets,Indiana Pacers,0.615247876
,,
Golden State Warriors,New Orleans Pelicans,0.939085966
,,
Los Angeles Clippers,Detroit Pistons,0.696366116
,,
Oklahoma City Thunder,Miami Heat,0.700359956
,,
Utah Jazz,Philadelphia 76ers,0.933962563
,,
Washington Wizards,Houston Rockets,0.545338589
,,
Minnesota Timberwolves,Brooklyn Nets,0.694100967
,,
Cleveland Cavaliers,Atlanta Hawks,0.726619575
,,
Dallas Mavericks,Los Angeles Lakers,0.878173761
,,
Memphis Grizzlies,Denver Nuggets,0.600732554
,,
Portland Trail Blazers,Phoenix Suns,0.812627756
,,
Sacramento Kings,New Orleans Pelicans,0.568792541
,,
Atlanta Hawks,Chicago Bulls,0.650872614
,,
Charlotte Hornets,Utah Jazz,0.653184985
,,
Golden State Warriors,Dallas Mavericks,0.889013832
,,
Indiana Pacers,Philadelphia 76ers,0.938171764
,,
Los Angeles Clippers,Portland Trail Blazers,0.513192791
,,
New York Knicks,Brooklyn Nets,0.694953539
,,
Oklahoma City Thunder,Toronto Raptors,0.610783879
,,
Orlando Magic,Minnesota Timberwolves,0.614138153
,,
Detroit Pistons,Phoenix Suns,0.805922787
,,
San Antonio Spurs,Houston Rockets,0.860446639
,,
Boston Celtics,Washington Wizards,0.580305563
,,
Golden State Warriors,Denver Nuggets,0.878637358
,,
Miami Heat,Chicago Bulls,0.63111817
,,
Milwaukee Bucks,New Orleans Pelicans,0.503311282
,,
Sacramento Kings,Los Angeles Lakers,0.793920117
,,
Boston Celtics,New York Knicks,0.793912329
,,
Toronto Raptors,Charlotte Hornets,0.534441422
,,
Oklahoma City Thunder,Los Angeles Clippers,0.64860053
,,
Utah Jazz,Orlando Magic,0.580618578
,,
Indiana Pacers,Philadelphia 76ers,0.943366674
,,
Portland Trail Blazers,Sacramento Kings,0.680369045
,,
San Antonio Spurs,Detroit Pistons,0.840873124
,,
Cleveland Cavaliers,Washington Wizards,0.708096286
,,
Atlanta Hawks,Philadelphia 76ers,0.953698547
,,
Chicago Bulls,Washington Wizards,0.565350338
,,
Detroit Pistons,Denver Nuggets,0.643649604
,,
San Antonio Spurs,Houston Rockets,0.769812989
,,
Boston Celtics,Indiana Pacers,0.514628346
,,
Miami Heat,Utah Jazz,0.646257435
,,
Memphis Grizzlies,Milwaukee Bucks,0.624666913
,,
Los Angeles Clippers,Minnesota Timberwolves,0.804396727
,,
New Orleans Pelicans,Los Angeles Lakers,0.743014651
,,
Phoenix Suns,Brooklyn Nets,0.530020155
,,
Toronto Raptors,New York Knicks,0.847714733
,,
Cleveland Cavaliers,Charlotte Hornets,0.731546636
,,
Golden State Warriors,Phoenix Suns,0.961719469
,,
Minnesota Timberwolves,Los Angeles Lakers,0.729664071
,,
Oklahoma City Thunder,Orlando Magic,0.833691789
,,
Portland Trail Blazers,Denver Nuggets,0.689691206
,,
Oklahoma City Thunder,Detroit Pistons,0.639229758
,,
Houston Rockets,Philadelphia 76ers,0.918383669
,,
Indiana Pacers,Orlando Magic,0.684222865
,,
Los Angeles Clippers,Brooklyn Nets,0.914823844
,,
Boston Celtics,New Orleans Pelicans,0.764565636
,,
Dallas Mavericks,New York Knicks,0.636255534
,,
San Antonio Spurs,Miami Heat,0.799294594
,,
Utah Jazz,Memphis Grizzlies,0.584985286
,,
Cleveland Cavaliers,Toronto Raptors,0.645620485
,,
Brooklyn Nets,Los Angeles Lakers,0.643988805
,,
Miami Heat,Atlanta Hawks,0.55212759
,,
Charlotte Hornets,Minnesota Timberwolves,0.763803903
,,
Portland Trail Blazers,Chicago Bulls,0.546580508
,,
Atlanta Hawks,Milwaukee Bucks,0.801050369
,,
Boston Celtics,Dallas Mavericks,0.686220589
,,
Denver Nuggets,Phoenix Suns,0.67112147
,,
Cleveland Cavaliers,Indiana Pacers,0.650368251
,,
Los Angeles Clippers,Memphis Grizzlies,0.754649688
,,
Detroit Pistons,New York Knicks,0.672733884
,,
Oklahoma City Thunder,Houston Rockets,0.7834907
,,
Orlando Magic,New Orleans Pelicans,0.598939699
,,
Washington Wizards,Philadelphia 76ers,0.931948853
,,
San Antonio Spurs,Sacramento Kings,0.850762226
,,
Golden State Warriors,Toronto Raptors,0.598483539
,,
Portland Trail Blazers,Houston Rockets,0.686363022
,,
Miami Heat,Milwaukee Bucks,0.787012697
,,
Minnesota Timberwolves,Philadelphia 76ers,0.822218291
,,
Utah Jazz,Chicago Bulls,0.518478743
,,
Washington Wizards,New York Knicks,0.680305964
,,
Golden State Warriors,Boston Celtics,0.682929563
,,
Charlotte Hornets,Atlanta Hawks,0.559642454
,,
Cleveland Cavaliers,Detroit Pistons,0.782636128
,,
Dallas Mavericks,Memphis Grizzlies,0.567420846
,,
Toronto Raptors,Denver Nuggets,0.781168977
,,
Indiana Pacers,Phoenix Suns,0.831680963
,,
San Antonio Spurs,Los Angeles Lakers,0.965710695
,,
Portland Trail Blazers,New Orleans Pelicans,0.832511043
,,
Oklahoma City Thunder,Brooklyn Nets,0.935584498
,,
Los Angeles Clippers,Sacramento Kings,0.742347181
,,
Boston Celtics,Detroit Pistons,0.539171139
,,
Houston Rockets,Utah Jazz,0.520962803
,,
Los Angeles Clippers,Chicago Bulls,0.701456357
,,
Memphis Grizzlies,Minnesota Timberwolves,0.65754471
,,
Golden State Warriors,Milwaukee Bucks,0.899462591
,,
Charlotte Hornets,New Orleans Pelicans,0.751171653
,,
Dallas Mavericks,Orlando Magic,0.563083809
,,
Phoenix Suns,Philadelphia 76ers,0.807603716
,,
Miami Heat,Washington Wizards,0.563470565
,,
Portland Trail Blazers,Brooklyn Nets,0.922476941
,,
Utah Jazz,Denver Nuggets,0.622797348
,,
Chicago Bulls,Los Angeles Lakers,0.892110899
,,
Atlanta Hawks,New York Knicks,0.735776786
,,
Oklahoma City Thunder,Indiana Pacers,0.742311707
,,
Toronto Raptors,Sacramento Kings,0.772149585
,,
Charlotte Hornets,Memphis Grizzlies,0.69778686
,,
Detroit Pistons,Houston Rockets,0.586344856
,,
Golden State Warriors,Indiana Pacers,0.749371505
,,
Los Angeles Clippers,Toronto Raptors,0.537131823
,,
Orlando Magic,Milwaukee Bucks,0.579996121
,,
Boston Celtics,Minnesota Timberwolves,0.776720031
,,
Miami Heat,Philadelphia 76ers,0.953552129
,,
San Antonio Spurs,Dallas Mavericks,0.861304409
,,
Washington Wizards,Phoenix Suns,0.79118612
,,
Atlanta Hawks,New Orleans Pelicans,0.804529974
,,
Chicago Bulls,Denver Nuggets,0.638082276
,,
Oklahoma City Thunder,Los Angeles Lakers,0.948009757
,,
Portland Trail Blazers,New York Knicks,0.817252946
,,
Boston Celtics,Brooklyn Nets,0.886031823
,,
San Antonio Spurs,Charlotte Hornets,0.658830552
,,
Cleveland Cavaliers,Portland Trail Blazers,0.623357939
,,
Los Angeles Clippers,Dallas Mavericks,0.632078617
,,
Miami Heat,Detroit Pistons,0.522045124
,,
Golden State Warriors,Los Angeles Lakers,0.978273062
,,
Toronto Raptors,Houston Rockets,0.66533322
,,
Atlanta Hawks,Indiana Pacers,0.502617552
,,
New Orleans Pelicans,Minnesota Timberwolves,0.51339568
,,
Orlando Magic,Phoenix Suns,0.708763665
,,
Memphis Grizzlies,Philadelphia 76ers,0.920231913
,,
Oklahoma City Thunder,Sacramento Kings,0.786821199
,,
Utah Jazz,Denver Nuggets,0.665023239
,,
San Antonio Spurs,Boston Celtics,0.641130261
,,
Cleveland Cavaliers,Dallas Mavericks,0.808844989
,,
Oklahoma City Thunder,Denver Nuggets,0.7954137
,,
Los Angeles Clippers,Detroit Pistons,0.580385688
,,
Indiana Pacers,Brooklyn Nets,0.862598628
,,
Golden State Warriors,Los Angeles Lakers,0.971391492
,,
Miami Heat,Memphis Grizzlies,0.624884068
,,
Toronto Raptors,Milwaukee Bucks,0.81520162
,,
Charlotte Hornets,New York Knicks,0.730898804
,,
Washington Wizards,Orlando Magic,0.572759062
,,
Chicago Bulls,Philadelphia 76ers,0.93789586
,,
Minnesota Timberwolves,Phoenix Suns,0.632713783
,,
Portland Trail Blazers,New Orleans Pelicans,0.726877585
,,
Houston Rockets,Sacramento Kings,0.595071648
,,
Atlanta Hawks,Utah Jazz,0.563110935
,,
Charlotte Hornets,New York Knicks,0.780889493
,,
Golden State Warriors,Minnesota Timberwolves,0.942629053
,,
Miami Heat,Memphis Grizzlies,0.691329211
,,
Oklahoma City Thunder,Detroit Pistons,0.756182005
,,
San Antonio Spurs,Washington Wizards,0.763825118
,,
Sacramento Kings,Brooklyn Nets,0.751461723
,,
Dallas Mavericks,New Orleans Pelicans,0.688686553
,,
Los Angeles Clippers,Indiana Pacers,0.556231285
,,
Atlanta Hawks,Los Angeles Lakers,0.919844239
,,
Orlando Magic,Milwaukee Bucks,0.593648803
,,
Cleveland Cavaliers,Philadelphia 76ers,0.974735361
,,
Denver Nuggets,Phoenix Suns,0.687343717
,,
Portland Trail Blazers,Houston Rockets,0.578578292
,,
Golden State Warriors,Atlanta Hawks,0.834204481
,,
Charlotte Hornets,Memphis Grizzlies,0.623890559
,,
Miami Heat,Boston Celtics,0.540215687
,,
Utah Jazz,Minnesota Timberwolves,0.691093396
,,
Oklahoma City Thunder,New York Knicks,0.81565894
,,
Toronto Raptors,Philadelphia 76ers,0.968191167
,,
Washington Wizards,Sacramento Kings,0.650305495
,,
Los Angeles Clippers,Brooklyn Nets,0.901870614
,,
Charlotte Hornets,Detroit Pistons,0.632572183
,,
Cleveland Cavaliers,Milwaukee Bucks,0.847698478
,,
New Orleans Pelicans,Los Angeles Lakers,0.743014651
,,
San Antonio Spurs,Orlando Magic,0.895191228
,,
Utah Jazz,Houston Rockets,0.550829958
,,
Boston Celtics,Detroit Pistons,0.650464453
,,
Chicago Bulls,Los Angeles Lakers,0.883794456
,,
San Antonio Spurs,Dallas Mavericks,0.772684577
,,
Miami Heat,Denver Nuggets,0.705595514
,,
New York Knicks,Minnesota Timberwolves,0.541764308
,,
Oklahoma City Thunder,Washington Wizards,0.777966923
,,
Atlanta Hawks,Phoenix Suns,0.849065224
,,
Portland Trail Blazers,Indiana Pacers,0.522193589
,,
Toronto Raptors,Memphis Grizzlies,0.782911131
,,
Milwaukee Bucks,Brooklyn Nets,0.711982637
,,
Charlotte Hornets,Dallas Mavericks,0.669227886
,,
Cleveland Cavaliers,Los Angeles Clippers,0.681815647
,,
Golden State Warriors,Houston Rockets,0.888305208
,,
Memphis Grizzlies,Orlando Magic,0.56283541
,,
Miami Heat,Utah Jazz,0.558009732
,,
Atlanta Hawks,Detroit Pistons,0.645355956
,,
Boston Celtics,Sacramento Kings,0.770983946
,,
Cleveland Cavaliers,Chicago Bulls,0.684134194
,,
Houston Rockets,Denver Nuggets,0.607537845
,,
Los Angeles Clippers,New Orleans Pelicans,0.79334809
,,
New York Knicks,Minnesota Timberwolves,0.539735762
,,
Orlando Magic,Philadelphia 76ers,0.905411615
,,
San Antonio Spurs,Washington Wizards,0.856526697
,,
Toronto Raptors,Los Angeles Lakers,0.946705501
,,
Charlotte Hornets,Minnesota Timberwolves,0.805827471
,,
Dallas Mavericks,Chicago Bulls,0.500502968
,,
Golden State Warriors,Phoenix Suns,0.961719469
,,
Memphis Grizzlies,Los Angeles Lakers,0.84030146
,,
Milwaukee Bucks,Brooklyn Nets,0.677222942
,,
Boston Celtics,Philadelphia 76ers,0.956504668
,,
Miami Heat,Portland Trail Blazers,0.530007222
,,
Toronto Raptors,Atlanta Hawks,0.664996839
,,
Utah Jazz,Denver Nuggets,0.665023239
,,
Detroit Pistons,Orlando Magic,0.662570595
,,
Los Angeles Clippers,Indiana Pacers,0.680530622
,,
Sacramento Kings,New York Knicks,0.531902134
,,
Oklahoma City Thunder,New Orleans Pelicans,0.875230998
,,
Oklahoma City Thunder,Atlanta Hawks,0.541887852
,,
Washington Wizards,Brooklyn Nets,0.828810427
,,
Portland Trail Blazers,Chicago Bulls,0.653930576
,,
Charlotte Hornets,Dallas Mavericks,0.574635408
,,
Golden State Warriors,Indiana Pacers,0.863590603
,,
Boston Celtics,Houston Rockets,0.588439267
,,
Utah Jazz,Los Angeles Lakers,0.88563146
,,
San Antonio Spurs,Milwaukee Bucks,0.881244983
,,
Memphis Grizzlies,New Orleans Pelicans,0.630123313
,,
Denver Nuggets,Philadelphia 76ers,0.891195788
,,
Toronto Raptors,Cleveland Cavaliers,0.51885464
,,
Detroit Pistons,Chicago Bulls,0.554482691
,,
Memphis Grizzlies,Philadelphia 76ers,0.900159979
,,
Miami Heat,New York Knicks,0.77563661
,,
San Antonio Spurs,Minnesota Timberwolves,0.890551999
,,
Utah Jazz,Phoenix Suns,0.794825322
,,
Washington Wizards,Orlando Magic,0.624278687
,,
Atlanta Hawks,Miami Heat,0.578310069
,,
Denver Nuggets,Brooklyn Nets,0.74330458
,,
Charlotte Hornets,Detroit Pistons,0.632572183
,,
Dallas Mavericks,Sacramento Kings,0.638905367
,,
Houston Rockets,Los Angeles Lakers,0.867847022
,,
Golden State Warriors,Los Angeles Clippers,0.636058236
,,
Portland Trail Blazers,Milwaukee Bucks,0.829231128
,,
Cleveland Cavaliers,New York Knicks,0.836760647
,,
Boston Celtics,Orlando Magic,0.682813264
,,
Indiana Pacers,Phoenix Suns,0.817212273
,,
San Antonio Spurs,Chicago Bulls,0.742775931
,,
Portland Trail Blazers,Memphis Grizzlies,0.73199204
,,
New Orleans Pelicans,Philadelphia 76ers,0.832050148
,,
Toronto Raptors,Minnesota Timberwolves,0.866348756
,,
Golden State Warriors,Utah Jazz,0.792257998
,,
Washington Wizards,Denver Nuggets,0.660066387
,,
Toronto Raptors,Boston Celtics,0.515038032
,,
Charlotte Hornets,Orlando Magic,0.735639873
,,
Cleveland Cavaliers,Miami Heat,0.730713886
,,
Indiana Pacers,Dallas Mavericks,0.523986395
,,
Phoenix Suns,Los Angeles Lakers,0.696814539
,,
Atlanta Hawks,Milwaukee Bucks,0.751471315
,,
Detroit Pistons,Minnesota Timberwolves,0.709928615
,,
Oklahoma City Thunder,Houston Rockets,0.7834907
,,
Sacramento Kings,New York Knicks,0.546949455
,,
Miami Heat,Chicago Bulls,0.535425504
,,
Cleveland Cavaliers,Charlotte Hornets,0.731546636
,,
Houston Rockets,Dallas Mavericks,0.538803449
,,
Portland Trail Blazers,Indiana Pacers,0.618735246
,,
Los Angeles Clippers,New Orleans Pelicans,0.838379063
,,
Golden State Warriors,Memphis Grizzlies,0.834219597
,,
Orlando Magic,Denver Nuggets,0.554998365
,,
San Antonio Spurs,Brooklyn Nets,0.961160215
,,
Utah Jazz,Sacramento Kings,0.655330356
,,
Washington Wizards,Milwaukee Bucks,0.694612561
,,
Detroit Pistons,Philadelphia 76ers,0.932207047
,,
New York Knicks,Los Angeles Lakers,0.803621782
,,
Golden State Warriors,Minnesota Timberwolves,0.907491741
,,
Oklahoma City Thunder,Boston Celtics,0.685732685
,,
New Orleans Pelicans,Phoenix Suns,0.647385858
,,
Dallas Mavericks,Denver Nuggets,0.648812624
,,
Houston Rockets,Brooklyn Nets,0.823181961
,,
Indiana Pacers,Charlotte Hornets,0.503618616
,,
Los Angeles Clippers,Portland Trail Blazers,0.513192791
,,
Miami Heat,Washington Wizards,0.653582641
,,
Sacramento Kings,Los Angeles Lakers,0.793920117
,,
Toronto Raptors,Milwaukee Bucks,0.856114142
,,
Atlanta Hawks,Orlando Magic,0.746275989
,,
Chicago Bulls,Minnesota Timberwolves,0.735121161
,,
Cleveland Cavaliers,Memphis Grizzlies,0.828439637
,,
Golden State Warriors,New Orleans Pelicans,0.901553731
,,
New York Knicks,Phoenix Suns,0.66733182
,,
Oklahoma City Thunder,Portland Trail Blazers,0.646561368
,,
Brooklyn Nets,Los Angeles Lakers,0.547045127
,,
Detroit Pistons,Dallas Mavericks,0.505544216
,,
Houston Rockets,Sacramento Kings,0.642651955
,,
Cleveland Cavaliers,Memphis Grizzlies,0.757904993
,,
Miami Heat,Indiana Pacers,0.608017296
,,
Los Angeles Clippers,Orlando Magic,0.717902565
,,
Toronto Raptors,Philadelphia 76ers,0.968331978
,,
San Antonio Spurs,Boston Celtics,0.788035244
,,
Oklahoma City Thunder,Utah Jazz,0.671918165
,,
Charlotte Hornets,Washington Wizards,0.562428298
,,
Portland Trail Blazers,Denver Nuggets,0.797139229
,,
Golden State Warriors,New York Knicks,0.933817792
,,
Chicago Bulls,Milwaukee Bucks,0.68540607
,,
Indiana Pacers,New Orleans Pelicans,0.710970275
,,
San Antonio Spurs,Phoenix Suns,0.932458751
,,
Boston Celtics,Charlotte Hornets,0.584790404
,,
Chicago Bulls,Milwaukee Bucks,0.718107282
,,
Houston Rockets,New Orleans Pelicans,0.692165492
,,
Memphis Grizzlies,Sacramento Kings,0.590325368
,,
Los Angeles Clippers,Miami Heat,0.501534895
,,
Orlando Magic,Brooklyn Nets,0.755625218
,,
Los Angeles Lakers,Philadelphia 76ers,0.700789382
,,
Toronto Raptors,Atlanta Hawks,0.664996839
,,
Utah Jazz,Dallas Mavericks,0.552601277
,,
Washington Wizards,Detroit Pistons,0.506896626
,,
Atlanta Hawks,Charlotte Hornets,0.5793428
,,
Cleveland Cavaliers,Los Angeles Lakers,0.95965287
,,
Denver Nuggets,New York Knicks,0.53403479
,,
Detroit Pistons,Indiana Pacers,0.530155441
,,
Golden State Warriors,Portland Trail Blazers,0.758048523
,,
Houston Rockets,Minnesota Timberwolves,0.677164595
,,
Oklahoma City Thunder,Phoenix Suns,0.919558372
,,
Dallas Mavericks,Sacramento Kings,0.638905367
,,
Utah Jazz,Memphis Grizzlies,0.534366251
,,
Miami Heat,Boston Celtics,0.540215687
,,
Toronto Raptors,Orlando Magic,0.749578635
,,
Brooklyn Nets,Philadelphia 76ers,0.767644612
,,
